2.078223,3
2.262475,4
2.66151,1
2.802833,1
3.161063,4
3.635354,4
3.779318,0
3.959857,3
4.297714,4
4.658026,3
4.819919,3
5.052416,4
5.430353,3
5.653405,3
5.848984,3
6.030351,4
6.407808,3
6.606621,4
6.758124,4
6.98251,1
7.377894,4
7.78309,3
8.358804,1
8.717964,3
9.05889,0
9.817479,4
10.03049,0
10.64134,3
10.82554,1
11.35883,4
11.55489,0
11.74521,4
11.94216,0
12.13431,4
13.07674,2
13.47742,3
13.84972,4
14.22296,0
14.56403,4
14.95785,3
15.91673,3
16.14166,3
16.70789,1
16.90631,1
17.63219,4
17.83372,0
18.03377,3
18.19497,0
19.04548,3
19.53257,1
19.89143,4
20.28239,0
20.61617,3
21.01421,1
21.40548,4
21.78968,0
22.14933,3
22.88609,0
23.61835,4
24.02455,1
24.41926,4
25.16726,3
25.58271,0
25.97647,3
26.64182,2
27.48407,4
27.66965,0
27.8588,4
28.27079,3
28.65818,1
29.00857,4
29.39392,0
29.77593,3
30.14408,1
30.50464,4
30.89144,0
31.24569,3
31.54324,3
32.02091,1
32.28407,1
32.89866,4
33.13229,4
33.57281,0
33.76025,0
34.09984,3
34.29554,1
34.683,4
34.88723,0
35.80924,3
36.22324,4
36.61216,3
36.80114,0
36.97778,3
37.36027,4
37.75022,0
37.93288,4
38.11868,0
38.87928,3
39.24604,1
39.40772,4
39.60458,1
40.04721,3
40.46497,3
40.80921,1
40.99588,3
41.16584,1
41.54079,4
41.91911,3
42.12683,3
42.53156,1
42.74123,1
43.44218,4
43.81438,0
44.1532,3
44.37452,1
44.57791,3
44.61919,3
44.95572,4
45.33936,4
45.74318,0
46.0554,0
46.48492,3
47.24142,3
47.65685,4
48.02472,1
48.2068,1
48.38765,1
48.77131,4
48.95952,4
49.13241,4
49.49306,3
49.86665,4
49.90357,4
50.08248,3
50.29382,4
50.66168,1
50.84511,0
51.03349,1
51.43707,3
51.78343,4
52.14264,4
52.39976,3
52.7511,3
52.96517,3
53.14604,4
53.69781,1
53.88703,3
54.06382,1
54.4351,4
54.64456,0
55.0445,3
55.40884,1
55.74483,4
55.94672,0
56.34827,4
57.0806,3
57.66791,1
58.03726,3
58.40641,4
58.77009,4
58.96473,0
59.17152,4
59.37688,0
59.73151,3
59.9527,2
60.12788,2
60.54179,4
60.89301,3
61.27678,0
61.66845,3
62.43521,1
62.81716,4
63.01551,0
